Date,Open,High,Low,Close,Adj Close,Volume
2020-05-01,5.639999866485596,5.75,5.309999942779541,5.360000133514404,5.360000133514404,34684200
2020-05-04,5.130000114440918,5.429999828338623,4.960000038146973,5.269999980926514,5.269999980926514,29339300
2020-05-05,5.409999847412109,5.650000095367432,5.150000095367432,5.159999847412109,5.159999847412109,28713200
2020-05-06,5.210000038146973,5.289999961853027,4.920000076293945,4.989999771118164,4.989999771118164,26883000
2020-05-07,5.130000114440918,5.320000171661377,5.070000171661377,5.079999923706055,5.079999923706055,27217300
2020-05-08,5.260000228881836,5.369999885559082,5.190000057220459,5.369999885559082,5.369999885559082,25397500
2020-05-11,5.400000095367432,5.550000190734863,5.159999847412109,5.269999980926514,5.269999980926514,26845600
2020-05-12,5.340000152587891,5.429999828338623,4.989999771118164,4.989999771118164,4.989999771118164,32870600
2020-05-13,5.019999980926514,5.070000171661377,4.820000171661377,5.019999980926514,5.019999980926514,33463900
2020-05-14,4.849999904632568,5.099999904632568,4.650000095367432,5.010000228881836,5.010000228881836,34633500
2020-05-15,4.840000152587891,5.409999847412109,4.800000190734863,5.309999942779541,5.309999942779541,36657300
2020-05-18,5.550000190734863,5.699999809265137,5.25,5.420000076293945,5.420000076293945,35714800
2020-05-19,5.329999923706055,5.380000114440918,5.03000020980835,5.070000171661377,5.070000171661377,38773800
2020-05-20,5.190000057220459,5.199999809265137,5.019999980926514,5.070000171661377,5.070000171661377,29134600
2020-05-21,4.96999979019165,5.440000057220459,4.909999847412109,5.369999885559082,5.369999885559082,55176200
2020-05-22,5.320000171661377,5.460000038146973,5.130000114440918,5.210000038146973,5.210000038146973,35481000
2020-05-26,5.510000228881836,6.289999961853027,5.489999771118164,6.170000076293945,6.170000076293945,64928700
2020-05-27,6.730000019073486,7.480000019073486,6.659999847412109,7.380000114440918,7.380000114440918,98034300
2020-05-28,7.659999847412109,7.699999809265137,6.769999980926514,6.829999923706055,6.829999923706055,73751800
2020-05-29,6.510000228881836,6.75,6.260000228881836,6.360000133514404,6.360000133514404,52869100
2020-06-01,6.190000057220459,6.630000114440918,6.170000076293945,6.369999885559082,6.369999885559082,43453400
2020-06-02,6.420000076293945,7.039999961853027,6.300000190734863,6.960000038146973,6.960000038146973,63583400
2020-06-03,7.210000038146973,7.949999809265137,7.119999885559082,7.860000133514404,7.860000133514404,65946700
2020-06-04,7.75,8.489999771118164,7.449999809265137,8.210000038146973,8.210000038146973,77918900
